id,bank_id,latitude,longitude,changeset,uid,timestamp,version
180,3,39.9095548,32.7966957,39397840,3940351,2016-05-18T11:00:00Z,2
181,3,39.9148045,32.789983,39397915,3940351,2016-05-18T11:02:53Z,1
182,2,39.922511,32.8643873,39708130,1386706,2016-06-01T11:12:26Z,1
183,4,39.9621159,32.8773096,39725550,1386706,2016-06-02T05:31:17Z,1
184,8,39.96166,32.8796534,39726319,1386706,2016-06-02T06:23:22Z,1
185,2,39.9728489,32.8864691,39792412,3579488,2016-06-04T06:47:13Z,1
186,9,39.9732408,32.8830429,39792835,3579488,2016-06-04T07:28:14Z,1
187,2,39.9672503,32.9462784,39819707,3579488,2016-06-05T16:01:27Z,2
188,8,39.9654182,32.946734,39819707,3579488,2016-06-05T16:01:28Z,2
189,4,39.9672233,32.9464001,39819707,3579488,2016-06-05T16:01:27Z,2
190,15,39.9551403,32.9019843,39863850,3579488,2016-06-07T15:15:45Z,1
191,2,40.0196617,32.8589742,39879158,1386706,2016-06-08T08:18:25Z,1
192,3,40.0193113,32.8585292,39879158,1386706,2016-06-08T08:18:25Z,1
193,17,40.0189623,32.858489,39879158,1386706,2016-06-08T08:18:26Z,1
194,8,40.0185027,32.8584493,39879158,1386706,2016-06-08T08:18:26Z,1
195,10,39.9269299,32.8540631,39954271,1386706,2016-06-11T14:55:50Z,1
196,3,39.9235872,32.8560687,45454761,1686268,2017-01-25T00:01:16Z,2
197,9,39.9228223,32.8546652,45345166,1686268,2017-01-21T08:45:43Z,2
198,3,39.9665883,32.79149,40258093,1386706,2016-06-24T11:57:30Z,1
199,5,39.9334473,32.908992,40427555,519138,2016-07-01T20:40:44Z,1
200,5,39.9269416,32.8950431,40919711,1386706,2016-07-21T13:05:23Z,1
201,4,39.926827,32.8954727,40919711,1386706,2016-07-21T13:05:23Z,1
202,17,39.9282727,32.8907699,41077869,1386706,2016-07-28T05:51:43Z,1
203,2,39.9286873,32.8910463,41077869,1386706,2016-07-28T05:51:43Z,1
204,9,39.9301938,32.8742643,41078632,1386706,2016-07-28T06:44:59Z,1
205,3,39.9303076,32.8744614,41078632,1386706,2016-07-28T06:45:00Z,1
206,4,39.9303793,32.8746017,41078632,1386706,2016-07-28T06:45:00Z,1
207,2,39.9217688,32.8858266,41162090,1386706,2016-08-01T08:53:12Z,1
208,9,39.9219989,32.8853978,41163446,1386706,2016-08-01T10:05:40Z,1
209,2,40.008378,32.8449422,41360004,1386706,2016-08-10T06:19:19Z,1
210,2,39.9341171,32.8715492,41388972,1386706,2016-08-11T13:19:18Z,1
211,3,39.9243573,32.8522805,41405308,1386706,2016-08-12T08:16:09Z,1
212,12,39.9233129,32.849885,41405308,1386706,2016-08-12T08:16:09Z,1
213,8,39.9222825,32.8512269,41408280,1386706,2016-08-12T10:58:39Z,1
214,2,39.860276,32.8157265,41630898,1386706,2016-08-23T06:58:46Z,1
